Blog	years	most	than	make	into	would	today	two	his	don	day	because	had	see	any	many	post	way	these	still	use	know	then	read	back	work	take	were	only	well	want	much	world	also	video	year	while	need	last	could	best	week	those	made	may	before	too	why	very	right	even	something	think	being	around	going	down	google	through	should	things	where	good	free	next	off	might	top	said	using	same	every	few	between	look	long	got	great	better	news	story	her	big	used	little	online	internet	full	days	always	media	since	help	show	really	ever	three	working	company	times	live	real	doesn	own	say	life	site	lot	part	social	business	him	find	called	making	sure	without	let	email	thing	old	ago	different	come	blog	app	play	change	keep	never	end	friends	hard	does	both	did	makes	start	users	future	number	high	comes	buy	though	easy	actually	twitter	art	music	another	links	each	available	data	information	set	com	she	reading	everyone	money	instead	bad	left	says	didn	small	thanksgiving	web	including	home	yet	point	case	list	love	stop	black	recently	support	open	found	try	game	talk	almost	check	second	such	less	content	getting	book	away	night	month	during	isn	nbsp	holiday	already	looking	family	man	public	report	once	via	doing	told	early	bit	often	york	service	past	interesting	coming	later	however	friday	million	line	run	give	continue	means	based	page	everything	until	youtube	able	finally	far	process	stuff	deal	again	turn	happy	whole	recent	comments	space	digital	behind	idea	design	four	feature	done	least	under	course	quite	major	group	share	earlier	technology	problem	put	enough	short	store	team	community	anything	link	together	shows	feel	click	search	fact	months	important	add	place	nothing	whether	power	probably	house	phone	writing	hit	update	american	images	version	original	trying	pretty	won	questions	videos	several	example	project	having	system	government	started	weeks	website	must	simple	watch	along	five	network	mobile	facebook	control	went	itself	thought	changes	women	november	needs	call	image	hours	science	else	tell	create	program	fast	city	takes	latest	features	anyone	favorite	order	white	ways	view	photos	couple	become	thanks	guide	lost	across	school	released	action	customers	results	remember	article	user	software	according	minutes	took	amp	likely	photo	launch	against	either	believe	key	below	asked	san	side	tools	added	state	build	experience	sometimes	product	close	goes	local	press	president	person	seems	above	pay	secret	hand	head	someone	series	came	awesome	large	posted	face	android	reason	step	decided	single	amazon	known	six	gets	chance	running	please	text	following	wants	former	places	worth	cost	non	tuesday	yes	sites	services	access	level	platform	rather	kind	include	name	possible	hope	voice	question	starting	understand	national	value	tool	hear	apps	screen	owners	microsoft	move	interview	terms	happen	care	price	stories	human	film	taking	cool	given	creating	related	reports	review	device	marketing	write	yourself	building	mark	others	tech	saying	originally	books	john	america	learned	popular	party	personal	weekend	performance	entire	wrote	ability	wasn	industry	obama	david	half	written	companies	points	appeared	maybe	spent	center	reasons	due	drive	rest	items
Captain's Quarters	2	0	2	0	2	1	2	0	6	0	2	0	3	0	0	0	1	0	0	1	1	0	0	0	2	1	1	0	1	1	0	0	1	2	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	1	4	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
blog maverick	0	0	1	3	1	1	0	0	1	1	0	2	1	0	1	1	1	2	0	1	2	3	2	2	1	0	0	2	2	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	3	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	2	0	1	0	0	1	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	1	1	3	0	1	2	0	0	1	1	0	1	0	0	0	0	1	2	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Little Green Footballs	7	4	9	3	7	16	9	5	25	19	4	11	11	5	6	9	3	5	7	3	5	8	7	6	4	1	6	10	7	10	3	3	4	9	7	5	2	6	3	7	4	2	2	5	1	3	4	2	3	16	8	2	4	6	2	6	5	7	2	0	0	6	7	0	0	2	2	2	12	2	3	6	3	3	1	2	2	1	3	13	5	1	5	3	3	3	1	1	2	5	3	2	4	4	3	2	4	1	1	3	3	1	2	1	11	3	1	2	2	0	0	6	0	2	1	3	1	2	0	0	6	5	1	4	0	0	0	11	3	3	2	3	2	1	4	4	1	1	0	0	1	4	2	1	1	0	4	1	0	3	2	1	0	0	1	1	2	6	1	1	0	0	2	0	2	5	2	0	0	0	1	2	3	1	1	0	2	5	4	0	2	4	2	2	0	3	6	0	0	4	1	0	0	3	2	2	3	1	1	0	0	1	0	0	2	4	6	1	2	1	2	2	10	0	2	2	0	1	0	1	2	1	0	0	6	1	3	1	3	2	2	1	7	2	1	3	1	2	10	3	0	0	0	0	4	1	1	2	2	1	4	0	1	2	0	4	3	4	5	2	1	0	3	2	1	1	0	1	2	2	1	1	1	0	1	5	3	0	0	1	2	2	0	4	1	3	0	1	1	6	5	2	4	0	1	2	3	0	2	3	0	0	3	1	3	1	0	1	2	0	3	0	2	3	0	0	0	0	0	0	3	7	3	1	3	1	1	19	0	1	0	2	0	0	0	1	0	1	1	0	6	0	1	0	1	0	1	0	1	0	6	1	1	0	4	4	0	0	0	5	4	3	0	0	0	0	4	0	4	0	0	3	0	1	0	2	8	0	0	0	0	0	4	0	3	23	0	0	3	0	1	0	0	4	0	4	0	1	1	2	0	4	2	1	1	0	0	6	3	1	0	1	1	3	2	2	0	0	0	0	3	3	0	0	0	1	0	1	1	0	1	0	0	2	1	0	1	2	0	0	3	0	0	0	0	2	2	0	1	14	0	1	0	2	3	0	0	0	1	1	3	0	0	0	1	0	0	0	0	2	0	1	3	4	1	1	14	0	1	0	2	0	0	2	0	25	1	1	0	0	2	0	1	0	1	0	0	0	3	0
Crooks and Liars	5	3	8	0	6	19	3	6	26	4	1	7	11	2	6	1	2	9	9	3	2	5	5	2	8	6	2	8	10	1	2	7	0	0	1	5	2	0	0	6	0	0	3	4	7	2	1	2	8	7	7	3	2	5	3	20	5	0	6	5	1	2	3	2	2	2	4	4	13	2	3	2	1	1	3	2	3	2	2	5	2	1	3	6	0	1	0	1	4	0	5	3	3	6	2	2	1	0	1	3	0	2	2	1	9	0	0	0	1	4	3	4	3	4	1	1	2	4	0	0	1	0	5	1	2	0	1	6	1	5	4	0	0	0	1	3	2	1	0	1	2	2	2	0	1	0	0	1	1	0	6	0	2	1	1	0	1	1	2	0	1	4	1	2	3	5	3	2	0	0	1	1	1	2	0	0	2	3	1	2	1	0	2	0	0	1	1	1	1	3	3	0	2	3	2	4	2	1	3	0	0	0	1	0	0	2	2	3	3	1	5	0	0	0	1	1	1	0	2	2	2	3	4	1	2	3	0	3	0	0	0	2	0	2	2	2	0	1	9	1	2	0	2	4	0	0	0	2	0	0	0	0	3	5	2	2	4	1	2	0	3	0	1	1	0	1	1	0	0	2	0	0	0	1	5	0	3	0	1	1	3	4	3	5	1	7	0	0	1	0	3	0	0	0	1	1	1	0	0	1	2	1	2	3	7	0	0	1	2	0	1	1	0	0	0	1	5	2	2	1	1	1	1	0	0	0	0	2	4	0	1	2	0	0	0	1	0	2	0	4	1	0	5	0	1	1	0	0	1	1	1	0	1	0	1	3	1	0	0	3	0	0	0	3	0	0	6	1	1	1	1	1	1	0	0	3	3	0	0	0	0	1	2	0	3	6	4	1	1	2	8	0	0	1	1	1	0	0	0	0	0	2	1	0	0	0	3	0	1	1	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	2	1	0	3	1	4	0	0	0	0	0	2	2	0	0	0	0	0	3	0	0	3	0	0	4	0	1	2	0	1	0	1	0	1	3	0	0	0	1	0	0	0	0	0	4	0	2	3	2	0	0	0	0	0	0	1	3	0	0	1	2	1	1	0	0	3	0	0	0	3	1	1	1	2	0
TMZ.com	0	0	1	2	0	0	0	2	8	3	1	3	2	0	1	0	0	1	0	2	0	1	1	0	1	0	1	3	0	0	0	0	0	0	1	0	2	1	6	1	0	3	0	1	2	1	1	0	0	1	1	2	2	0	1	0	1	0	0	0	0	1	0	1	0	4	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	7	1	0	2	0	2	0	0	0	0	0	0	3	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	2	1	0	0	0	2	1	0	2	0	0	0	0	1	1	0	1	0	2	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	3	0	0	1	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Schneier on Security	2	2	6	1	0	3	1	5	0	6	1	5	0	1	5	3	1	2	8	1	4	4	1	1	1	0	2	1	4	4	2	7	3	4	0	0	0	3	1	2	2	0	1	0	2	3	0	1	0	2	2	2	4	1	0	1	0	8	2	1	2	2	1	2	0	1	1	0	3	0	0	0	0	1	0	2	1	0	1	0	2	0	2	3	0	0	18	1	0	0	0	0	1	0	1	0	2	1	7	0	0	1	1	3	2	1	1	1	1	1	2	0	0	3	0	0	1	0	2	0	0	0	1	2	0	0	0	2	1	0	0	2	1	2	0	0	1	2	9	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	8	10	0	1	0	0	1	0	0	1	0	1	2	0	0	0	2	0	1	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	2	0	1	3	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	3	1	1	0	1	0	0	0	6	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	7	0	0	2	0	0	0	2	0	3	0	4	1	0	1	0	2	0	0	2	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	2	3	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	1	1	0	0	0	5	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	0	2	0	0	0	0	17	0	1	0	0	0	1	0	0	0	0
Search Engine Roundtable	1	1	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	29	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Copyblogger	1	2	1	1	1	2	0	0	2	4	5	2	0	0	0	1	11	0	1	0	0	4	1	0	1	6	4	0	3	0	2	0	1	0	0	0	0	6	0	0	1	2	0	0	2	1	3	3	1	7	1	0	0	0	0	0	2	0	1	1	1	1	3	0	4	1	3	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	4	0	1	1	0	0	0	0	0	0	1	0	0	9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0	1	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	10	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	9	0	0	0	21	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	10	0	0	0	0	0	0	0	0
John Battelle's Search Blog	4	0	7	0	1	0	0	1	0	1	0	3	1	4	1	0	21	3	0	0	1	0	1	0	2	1	3	0	1	0	4	0	6	0	3	0	0	3	3	0	3	5	0	3	2	1	0	6	0	0	0	0	2	0	0	0	0	4	1	0	0	3	2	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	20	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3	0	0	0	3	0	3	2	0	1	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	20	0	1	0	0	0	1	0	0
Engadget RSS Feed	1	2	3	3	3	4	5	2	3	2	2	6	2	2	7	0	1	1	0	8	7	3	0	0	6	5	2	1	10	3	3	6	0	6	12	1	8	2	1	5	1	1	3	3	7	2	3	0	1	5	5	0	0	1	3	1	2	16	5	2	2	1	1	4	3	6	6	2	4	3	2	0	4	2	2	3	2	1	2	0	1	0	0	2	1	5	8	1	2	1	2	1	3	1	1	2	1	6	5	1	3	2	2	1	0	5	1	1	2	1	0	1	2	0	1	5	3	1	0	1	2	0	2	1	0	15	8	1	2	1	3	0	2	1	2	0	3	4	2	2	1	2	5	2	9	0	0	0	0	4	3	1	1	1	2	2	6	1	0	0	0	1	1	0	0	6	0	0	0	2	3	3	4	1	0	1	1	1	1	1	2	2	1	1	5	0	0	2	3	2	1	6	2	0	0	0	2	0	3	0	3	5	3	0	0	0	1	5	10	0	3	3	2	1	0	10	0	0	1	1	6	1	0	4	2	2	0	1	2	2	0	1	4	4	3	0	0	0	0	0	2	0	1	2	25	0	5	1	0	2	2	2	2	3	25	2	1	0	1	0	2	1	0	0	3	1	4	0	0	0	2	0	5	0	0	1	0	1	0	2	1	3	3	0	3	0	4	0	1	3	0	0	2	0	0	2	4	0	0	0	0	1	2	0	3	1	1	4	0	1	1	0	0	2	8	0	1	0	1	2	1	0	0	0	0	0	3	0	0	1	2	0	0	0	0	1	2	2	0	2	1	0	0	0	1	1	4	2	0	1	1	0	3	1	1	1	1	0	5	0	0	1	2	2	0	5	2	2	0	1	3	1	0	2	1	3	0	2	1	1	2	0	0	3	1	0	1	1	1	1	0	1	2	0	2	0	0	0	1	0	12	0	0	2	0	5	1	0	1	2	3	1	0	2	0	1	0	3	1	1	0	0	1	0	1	1	3	0	1	1	0	1	1	1	1	0	0	0	2	1	2	4	5	4	12	1	0	2	0	0	5	0	0	1	1	0	2	0	1	1	2	10	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	1	4	2	0	0	1	0	2	2
PaulStamatiou.com - Tech News, Reviews and Guides	24	58	65	45	87	82	11	22	15	88	29	24	74	66	70	50	138	47	49	34	148	45	83	85	54	54	47	30	134	42	86	114	12	69	12	24	49	69	46	40	37	37	42	25	26	30	53	36	31	56	55	44	40	38	49	42	29	59	35	46	45	64	45	11	37	22	12	20	11	58	40	35	79	26	41	23	33	32	69	14	4	2	26	41	21	9	7	17	14	22	95	34	28	25	43	17	12	49	21	20	9	13	31	42	16	19	72	31	49	9	5	3	44	17	10	27	24	32	83	42	16	13	33	27	92	79	19	20	30	21	49	26	25	24	26	26	22	24	60	14	11	17	15	8	23	24	31	60	4	15	33	10	45	5	44	8	46	38	0	19	17	10	28	6	17	4	34	21	0	33	19	21	25	22	18	14	28	9	3	18	15	25	20	18	3	13	11	9	12	28	20	73	31	8	18	4	22	14	7	0	1	16	15	15	0	5	3	10	17	21	5	13	44	23	4	22	13	18	12	26	15	0	5	17	36	11	2	13	18	61	42	25	3	20	6	12	34	17	7	21	7	10	5	9	10	7	6	6	21	81	2	27	27	10	3	25	18	2	7	26	5	3	8	17	18	3	13	13	9	20	17	9	5	10	18	60	4	16	17	24	9	7	6	9	19	1	23	15	5	9	0	51	35	2	20	25	15	2	2	25	42	5	40	7	0	33	8	12	18	18	10	11	2	16	100	14	11	8	9	18	9	0	3	10	11	102	20	0	7	17	25	6	13	3	12	8	15	4	8	2	3	9	7	102	0	9	11	8	1	6	2	4	9	5	16	11	20	100	9	0	8	14	41	12	122	7	1	12	10	13	46	10	8	13	9	12	8	19	37	3	34	13	13	9	3	0	12	16	17	6	3	1	15	13	5	11	2	28	2	4	71	7	17	18	11	38	2	4	10	5	28	9	33	9	11	0	8	7	6	7	0	10	9	11	10	11	2	22	16	33	21	11	4	6	2	13	3	0	13	5	9	32	60	2	0	6	2	4	5	7	4	0	0	2	7	6	10	5	10	1	11	45	28	21	11	8	6	9	13	7	2	6	1	0	9	9	4	6	5	3	9	7	2	15	0	1	10	12	1	4	2	4	8	7	3	5	2	8	6	5
